ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Tax status","Tax class","In stock?","Stock","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Parent","Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global"
,simple,MSDW-1000ML,"MORNING SHINE Dishwash Liquid (1 Litre) + Free Scrub Pad & Sponge",1,1,visible,"Includes 1L Degreaser Bottle + Scrub Pad & Kitchen Sponge (Worth ₹25 Free). Formulated with active lemon & lime grease cutters.","MORNING SHINE Dishwash Liquid is specially synthesized by Essendaar Suppliers for both high-turnover professional catering kitchens and demanding households. Engineered with concentrated active lemon and lime extract, a mere teaspoon creates a dense foaming lather that instantly dissolves thick cooking oils, charred masala residues, ghee crusts, and dairy films without leaving a slippery white residue.",taxable,,1,,0,0,,,,,1,,145,175,"Kitchen Care > Dishwash Liquid, Special Offers, Bestsellers","dishwash, kitchen, morning shine, degreaser",,"https://lh3.googleusercontent.com/aida-public/AB6AXuCWsqgCY-jIhZJv6Okv_M4F_bRMGmEwd9HhZ8Pwwv1wIZWBGzCmPegx9mE5ld8MYDnee9JDiR8IZHwpMqCbz1A3A9HilUlvpoHjLwKbOprquqRRgS9DBvehTZpPGbdsXfDWWccSZjIVqKrc4BhVST623U6qF_9-I4sHkseS4RtyjjA-Z19ju2MuIKmIZjfBbRg7LXVZvcy-dqXOapJ7hc5HPQvm4Fda9BIUsYAWmgen30EOiwHLESUK5A, https://lh3.googleusercontent.com/aida-public/AB6AXuCay5sx37FXenitg1JQMY4pjTyyu-S_idw6qsCVhz0YXig5jSbktMO3P9jJUCCVmo6IxGZAKXgzmEa452FN20ZJTNtD9swWR_4zANINKifa97qrbv6l82SzyzKT0_RBL7odV0-bfoWfCp6eIFzqN9nJ_hHS3ZNbh3EOjZH7ypw1yWVIXOFgh0TdvQA_nNjirD2vSc3mJvEK9TkrBohxSCZZ8iPuMFwNs5xRdi8tbYJow8AY9ctHvL3mRQ",,,,,"",,0,Brand,"MORNING SHINE",1,1,"Pack Size","1 Litre + Freebies",1,1
,simple,MSDW-500ML,"MORNING SHINE Dishwash Liquid (500 ml) + Free Scrub Pad",1,0,visible,"Convenient 500 ml household pack with free heavy-duty non-scratch green scouring pad included.","Compact squeezable bottle ideal for domestic countertops and kitchen sinks. Features active lemon degreasers and glycerin skin conditioners.",taxable,,1,,0,0,,,,,1,,75,90,"Kitchen Care > Dishwash Liquid, Special Offers","dishwash, morning shine, 500ml",,"https://lh3.googleusercontent.com/aida-public/AB6AXuA-IBcwpV5V8mxo7dqlGXYpas2tKF8joTeaiJRz3kFHaDiQGhbngZoBH6wPsQNNrkY1t3-zCQXsDSS7jcGgYpcpgnbvrPEcZaLmPd0UdsfRKgZ1ufuMbpbd_vMtFHi_Ef1c2ebUxqVQM6etM8jAcMBvpsTLKrh1kbuVcHaJoEoPK4HrxB_eyADKCg52YG8bhQOgJq-ee9HpiQgMb1jfxHfFXvGK-HtsX8HMUEEZig-OjI4ae95Y6tjCpg",,,,,"",,1,Brand,"MORNING SHINE",1,1,"Pack Size","500 ml",1,1
,simple,MSDB-500G,"MORNING SHINE Dishwash Bar (500g)",1,0,visible,"Anti-sogging technology prevents dissolution in wet trays. Long-lasting grease cut bar.","Formulated with lime extracts and active cleaning minerals. Delivers maximum vessel washes per bar with zero soggy waste.",taxable,,1,,0,0,,,,,1,,38,45,"Kitchen Care > Dishwash Bar","dishwash bar, kitchen soap, morning shine",,"https://lh3.googleusercontent.com/aida-public/AB6AXuBmH7TJ-OjLXb3rP6i9w40UwGO5pfUxrpKQ8C7QeHPu4t_05G4Vh3F8lW6GqjEfngeC3JeROqrS44-AiVVkkxrsORUqm1eRZb2xwCTsqdcDIUO-JYprVPiJklF9kuvVfRdhCID_ChCtjOJg8P4efnrqx5IdRSOXznIesnGMWYUHHUOiFyGV2aPf0f1EskwzqqR7THLvgYlV7M8bekhhEQ13b_kpHcFXZl422JOgurbwEeH8KLxWueCndQ",,,,,"",,2,Brand,"MORNING SHINE",1,1,"Pack Size","500g Tub",1,1
,simple,BZLD-1000ML,"BOZZ Concentrated Liquid Detergent (1 Litre Matic)",1,1,visible,"High-power low-foam enzymatic formula safe for top-load and front-load washing machines.","Active enzyme stain cut technology designed specifically for hard water in South India. Preserves cotton weave elasticity and color vibrancy while removing deep sweat and collar soils.",taxable,,1,,0,0,,,,,1,,180,210,"Laundry Care > Liquid Detergent, Bestsellers","liquid detergent, bozz, matic, laundry",,"https://lh3.googleusercontent.com/aida-public/AB6AXuBUToRCU_uNrFYlAlwrWpejqV8zFbvYIwlC-pw8AR0EYaxS4JSxk2fXS2VAMbIVsKQTt3b5gBmN4q4ggWYpSBs1CNoVRq9afoQaTec4xxlCmxHPwqnJxL-cWltQ2T6IR4-LdK9Xu9JHkmKG5n2NsJm26L_EbHT7ynq5-lIxJtnjDUcNX90mr0AtkWMk-ayrggHBr1RQ0vVdp_UulR2dcZL9IThk2Wz40QL7r4GZ5OGnYe78u_cr2R5sEA, https://lh3.googleusercontent.com/aida-public/AB6AXuBDAL6A1Q0FpgP3xbHxmQDefDFNIZ6OmBHAA-Rx4DeOVDDOO_9_YU5hZwiI2xEYK6aU20nsmQi6zcjxQTEHtlR5ze_8YhJ4EAIGBGqqC1rl-GCGFiSa8D77tfKbXfRZd2qcguC5uAyxGefQohzu6guCk4hXIoAlV7LWV7BX27s7KNCroakO7FhgreZtFHrpq87T_oS0vEIv3cXyrZB0T0jyujH-GglWrmq5pDDjS8-ZrVt2PG0b1cuA1g",,,,,"",,3,Brand,BOZZ,1,1,"Pack Size","1 Litre",1,1
,simple,BZFC-1000ML,"BOZZ Fabric Conditioner & Softener (1 Litre - Lavender Fresh)",1,0,visible,"Long-lasting lavender fragrance with micro-encapsulated freshness for towels, school uniforms, and hotel linens.","Softens fabric fibers and eliminates static cling. Makes ironing easier and infuses soothing floral aroma that lasts up to 14 days in wardrobes.",taxable,,1,,0,0,,,,,1,,195,230,"Laundry Care > Fabric Conditioner","fabric softener, bozz, lavender",,"https://lh3.googleusercontent.com/aida-public/AB6AXuCfYI-1fyeKynpS2ih2kXR8pLnObYNwGCZKn62mni1Yzfacy8iExDof2UkkfGuVRBpyVIuT4z_BZgPrU8FGxF_zUp-ApaQL0KlvTxFDcNCfJcIgq4eE9L38nwYTM3uJq3GfvTdw5zui5lE4arCb3hUbceMavoxMMgXXoqxkWzDDphbQQN3oBfPyA-zDQrT9veBHHZsEY15XPsq_i833-hYhdNKZbdL4b4J5KL5TXHNo-1jSII0Tm2FuAg",,,,,"",,4,Brand,BOZZ,1,1,"Pack Size","1 Litre",1,1
,simple,SFFC-5000ML,"SKY FRESH Surface Floor Cleaner (5 Litres Institutional Can - Pine)",1,1,visible,"Hospital-grade 99.9% antimicrobial sanitizer for institutional floors. Non-corrosive on Italian marble, vitrified tiles & granite.","Widely procured by hospitals, educational institutions, commercial complexes, and hospitality venues across Tamil Nadu. Eradicates pathogens and keeps insect pests away with high pine terpenes.",taxable,,1,,0,0,,,,,1,,420,490,"Surface Care > Floor Cleaner, Institutional Bulk","floor cleaner, sky fresh, pine, 5L bulk",,"https://lh3.googleusercontent.com/aida-public/AB6AXuBtNAvAn6o4CmRc--Y3pXNtFvN7ypfhYzaqLhWE9HtXfHayNmv_IiqxTd_4hmQ-q0mKZlt8atRsQaOTNDKBuaogbppmHFB3oAhJy2exErFoBRS0HAcN6Kl4HUV_BQajuHdzOmxfTcFWM1n-to6Exab0i7kCpCXTId5Q3NZQmnPkCHArea2PFnry9_4VudC1vY1j-aWeUazBKomkThLtC0XBj95Tn77vFZSw0QIRPmU_i9Y6FjGltNzclg, https://lh3.googleusercontent.com/aida-public/AB6AXuAt_9eDKexe04zj7gKQ0fg1ucYPoa3HbGWc9L2siMtKj4gv7h71bDsUas73qYr3EuvsIfaKxJaSGFNSM7tgGL05z1aHs2y_BpA-EfZsx5OvLAQAJhPSDeCPN2vmxNqyrbcL31FQI2RtsEyS70fG9GoCIOOuHhh4k1m4ZEAXKDG5CpzejkLTpv0xt_8m81fhfrd0sF9_qR9cYR796sRdSnj54h_QOxzfbDaYrPCjKir_XmYFeWZUilTTqA",,,,,"",,5,Brand,"SKY FRESH",1,1,"Pack Size","5 Litres Can",1,1
,simple,SFGC-500ML,"SKY FRESH Streak-Free Glass Cleaner (500 ml Trigger Spray)",1,0,visible,"Ammonia-free clear sheen for mirrors, dining tables, glass partitions, and vehicle windshields.","Fast-drying, lint-free formula instantly removes greasy fingerprints, rain smudges, and dust marks from all reflective surfaces.",taxable,,1,,0,0,,,,,1,,95,105,"Surface Care > Glass Cleaner","glass cleaner, sky fresh, spray",,"https://lh3.googleusercontent.com/aida-public/AB6AXuDA86SJE67fsRlQYFX4l7QGKCJ5ZnWH-Shmgcv4tZjE1fs0IDOzeEVfGbpkK5QR9UY5WarENLWHBUAAYr-wJt-KWKXcHw8FlmXRc_oPVVqLZ4tdj3Tthz_7pqBk_zN6enUOJD7WZjwbvA6qsDo_C32AugoOrWEgMyAUfIpz6A97N2uJzJyVpYgcIm-WjoFYgLJxSxkbJfHbhq68GzTjcbb5mnbZw5QUrGCr2FScogRmYbHmnEX2Lwhahw",,,,,"",,6,Brand,"SKY FRESH",1,1,"Pack Size","500 ml Trigger",1,1
,simple,SFCS-1000ML,"SKY FRESH Car Care Shampoo with High Foam Formula (1 Litre)",1,0,visible,"High-gloss wax protective wash shampoo designed for commercial fleet maintenance and private vehicles.","Safe on clear coats and ceramic protective coatings. High snow foam lubricates dirt particles to prevent wash swirls and scratches.",taxable,,1,,0,0,,,,,1,,160,185,"Vehicle Care > Car Shampoo","car wash, vehicle care, sky fresh",,"https://lh3.googleusercontent.com/aida-public/AB6AXuAZ-jAQ6MvxewvS5z8HXemnh3AoyieR_0hqs94WcBD96SpOcXeIr0mPbPZ5cWWaNc8brJ6YTFJzHQtpdjOmJ0E53VtQ5FpAlkE-FDt_xpTIkiwV1gY5lbY03N9Nszy_plfTJ6ef1Fb0UWBASN2lLeFuvemJnXQBB2fiURdQBOaYbNWg6u4Rr6naNrGyka3sA-7QKFV1Cgw2PSSTI1FsJdXa19eNTbzCPvy-HSa__8gqBDBCOH6CSN3pww",,,,,"",,7,Brand,"SKY FRESH",1,1,"Pack Size","1 Litre",1,1
,simple,PRTC-1000ML,"POWER RIDE Disinfectant Toilet Cleaner (1 Litre - Deep Clean Formula)",1,1,visible,"High-viscosity clinging gel dissolves stubborn hard-water scale and eradicates 99.99% toilet pathogens.","Ergonomic directional nozzle reaches under the rim easily. Thick blue formula coats the bowl surface, cutting through uric scale, yellow water staining, and bad odors in minutes.",taxable,,1,,0,0,,,,,1,,120,145,"Sanitation > Toilet Cleaner, Bestsellers","toilet cleaner, power ride, disinfectant",,"https://lh3.googleusercontent.com/aida-public/AB6AXuAerwEIUnEeMtqN-Rmf-rVjaplSgSq8u8cl_E7-_lDzhuMBC8Xf4ZM5n_kztxE-dnD2_VE7knKFr1Ut5oUPyWT66-9jHSutqbtib9SM25m6VWJVZsAgu_Jjv_sZuuG3z6HbiAtdNL67Mit7lO7qjct_DxB01bya_iDQ6Lv2e7bONkXxIaS-xYb6BwNq_7oAzU9iJAyXhROLXlLszqSpF6b_xpGZodtOGYOuz4FQUALVCP3mT1G3m84Uyg, https://lh3.googleusercontent.com/aida-public/AB6AXuAkRZJDtfPZ7Y3xdaoJ6rcDnJGTOFW-EQxn-eYgekQQHYwViXHjbvRK9WgVoJIEE_sAtiw3I2-nwMCHJRn3elJMJCYX0tuaQKmggXo4W3-o9_mvSKYWJ1zylzAUgT-eQg7HXg1fesOLUrFRsL3qtmqUVufkNAceUCXzGfXeGiar-eve5jBNApkl8VmHEd4PoFsoPSEqRpvuPxyNhlF60bQyPO-x5wD-s1075j7Y4yEG4kmR6mWgJy2qfA",,,,,"",,8,Brand,"POWER RIDE",1,1,"Pack Size","1 Litre Angled",1,1
,simple,ESSO-5000ML,"Essendaar Commercial Multi-Purpose Soap Oil (5 Litres Can)",1,0,visible,"Economical, rich foaming pine-infused soap oil for daily industrial floor scrubbing and washroom corridors.","Formulated specifically for institutional campuses and housekeeping contractors needing cost-effective daily surface maintenance.",taxable,,1,,0,0,,,,,1,,310,360,"Institutional Bulk > Soap Oil, Surface Care","soap oil, bulk chemicals, essendaar",,"https://lh3.googleusercontent.com/aida-public/AB6AXuDs8x3RykVRvrt4OkjwW91UiTYA_I0uzjw-aKufkTzw4MbQrMdJUKdHntC-acuVw_Y-VzdpbFgGyArOtrRKrEROIUib1ZOxSsXWJhSLQi6ARP4_r0t4KGo-DwREcUpIfkKauHi1KYwpBoRdtqDUzc9MEBAxuLbMApmeGTwEKBt3QeKdIPkC2qGonNMpMFyO30K6OUzlu6QChEWxJ_RMje8ZyX7Pq3R3WImC4hmqhqL5W_5_DU505sNqhw",,,,,"",,9,Brand,"ESSENDAAR BULK",1,1,"Pack Size","5 Litres Can",1,1
